id;fullname;phone;birthdate;email
1;EXE;855-684-7117;Customer Intelligent;Betsy.Wilderman28@yahoo.com
2;Division Handcrafted Program;559-422-4178;Wooden;Gracie.Gulgowski@gmail.com
3;Account Monetary;583.744.8859;Rubber;Junius5@gmail.com
4;schemas;372.334.5202 x42883;compressing cross-platform;Clara.Prosacco67@yahoo.com
5;port Loan;536-221-1351 x31447;Buckinghamshire;Ethelyn.Kassulke51@yahoo.com
6;SMTP;1-892-777-5015 x3872;Metal Island turquoise;Alexandrea31@gmail.com
7;Colorado generate Computers;1-681-910-9704 x7680;payment Tasty Future;Maryjane_Lesch@gmail.com
8;Estates Communications;394-268-5057;calculate;Lysanne_Cummings55@hotmail.com
9;Steel Usability;356-409-3326 x05871;Wooden Djibouti;Lila_Pollich@hotmail.com
10;Maine;1-570-257-7398;back-end Beauty Sports;Rosetta_Rogahn78@hotmail.com
